long_std,time/total_timesteps,return_mean,short_std,time/fps,return_std,time/iterations,time/time_elapsed,long_mean,rollout/ep_len_mean,rollout/ep_rew_mean,short_mean,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_fraction,train/clip_range,train/policy_gradient_loss
0.17671473,480000,20.364128,0.064104706,97,2.5599556,240,4937,0.0029234905,2000.0,423.47,0.070514604,5.991245746612549,5.3641785979270935,1e-05,-0.019285630268859676,0.00020831946,2390,0.04218417406082153,0.001904296875,0.2,-0.0004204372467938811
0.18737793,482000,20.037678,0.06783916,97,2.673046,241,4957,0.001998597,2000.0,423.07,0.071885325,2.715747833251953,6.4589385986328125,1e-05,-0.019526289842906407,1.5944068e-05,2400,-0.02946305274963379,0.00185546875,0.2,-0.00011674964334815741
0.186263,484000,20.064566,0.051184196,97,2.7829607,242,4978,0.0021428075,2000.0,423.32,0.0697231,2.498014450073242,6.871683536469936,1e-05,-0.01781372123368783,6.734874e-05,2410,0.0300140380859375,0.0005859375,0.2,-9.740511159179732e-05
0.18301794,486000,20.090364,0.055323474,97,2.967351,243,4998,0.0028847686,2000.0,423.18,0.06518945,1.9453555345535278,7.2513349682092665,1e-05,-0.018594362819567323,0.00018338059,2420,0.002250373363494873,0.003125,0.2,-0.00034324790758546444
0.17845726,488000,19.917294,0.037542507,97,2.646575,244,5019,0.0029314838,2000.0,422.62,0.07674983,3.553438186645508,7.817319001257419,1e-05,-0.018933132002712228,0.00019381495,2430,0.09537386894226074,0.002197265625,0.2,-9.18526842724532e-05
0.18559474,490000,19.699413,0.06401126,97,2.5865314,245,5039,0.0033980028,2000.0,421.21,0.05760654,1.808142066001892,6.621140529960394,1e-05,-0.025746841536602005,0.00013339924,2440,0.05133146047592163,0.00302734375,0.2,-0.00029413366282824425
0.181387,492000,19.770136,0.051035393,97,2.5491304,246,5060,0.0018561187,2000.0,420.88,0.08011272,1.6112322807312012,6.476489806175232,1e-05,-0.02843960986647289,0.00017939953,2450,-0.017427921295166016,0.00380859375,0.2,-0.0006730700668413192
0.18961547,494000,20.159548,0.071204856,97,2.5279112,247,5080,0.0014275413,2000.0,420.63,0.08289875,1.4781385660171509,6.335001597553491,1e-05,-0.02584707857458852,0.0002436915,2460,0.01861739158630371,0.00302734375,0.2,-0.00040374090167460963
0.18392168,496000,20.025753,0.0563628,97,2.523148,248,5101,0.0015713923,2000.0,420.97,0.07452974,3.272340774536133,6.36622639298439,1e-05,-0.020831700197595636,5.7928934e-05,2470,-0.02228677272796631,0.000927734375,0.2,-0.0002872394514270127
0.1824913,498000,19.712097,0.071519144,97,2.7099671,249,5121,0.0015713859,2000.0,420.02,0.07329374,2.387115001678467,5.975995279103517,1e-05,-0.019104167533805595,0.00010611836,2480,0.04952883720397949,0.00107421875,0.2,-6.61890095216222e-05
0.18927087,500000,20.250492,0.06688709,97,2.6328657,250,5142,0.0017142434,2000.0,420.84,0.07999788,2.6361398696899414,6.797202362865209,1e-05,-0.016588632453931496,1.6290462e-05,2490,0.06358063220977783,0.000341796875,0.2,-5.894474888918921e-05
0.17703235,502000,20.324936,0.04865231,97,2.7275426,251,5162,0.0025796008,2000.0,421.3,0.07244617,2.086103916168213,6.773446015268564,1e-05,-0.018500916080665775,2.8907642e-05,2500,0.017580866813659668,0.000244140625,0.2,-8.761644130572677e-05
0.1869707,504000,20.387157,0.07874886,97,2.895986,252,5183,0.0015713932,2000.0,420.8,0.054218765,14.214337348937988,6.722267385572195,1e-05,-0.02736927433288656,0.0014056972,2510,0.0904034972190857,0.0013671875,0.2,-0.0006241314462386071
0.185329,506000,20.051048,0.074138,97,2.7481477,253,5203,0.0025828572,2000.0,420.57,0.062349427,4.5648112297058105,7.862435354292392,1e-05,-0.048293772496981545,0.00042413402,2520,0.02676570415496826,0.004443359375,0.2,-0.000929269689368084
0.1796381,508000,19.25203,0.06328036,97,2.4897273,254,5224,0.0025713923,2000.0,419.84,0.07668013,3.242271661758423,7.230604761838913,1e-05,-0.043973332474706694,0.0008418131,2530,0.02833801507949829,0.01279296875,0.2,-0.0009430864389287308
0.18737325,510000,18.972725,0.054817263,97,2.6649504,255,5244,0.0013260714,2000.0,419.53,0.06974344,1.8141226768493652,5.638625477999449,1e-05,-0.04276747687836178,4.3901004e-05,2540,0.08455651998519897,0.002001953125,0.2,-0.0001050386592396535
0.18010722,512000,18.885977,0.047250923,97,2.7261755,256,5265,0.0030397493,2000.0,419.26,0.062119506,1.279731273651123,6.2671986982226375,1e-05,-0.04651781744323671,0.00012108356,2550,0.09743189811706543,0.001123046875,0.2,-0.00020013062021462247
