time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,long_std,rollout/ep_rew_mean,long_mean,return_mean,short_mean,short_std,time/fps,return_std,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/explained_variance
130000,1319,65,2000.0,0.17964996,271.9846153846154,0.0030303209,19.270378,0.16514204,0.07887822,98,2.492017,640,8.272157987952232,0.2,-0.0005288710672175512,0.001233673,-0.16908793414477258,5.566842555999756,1e-05,0.00087890625,-0.03584635257720947
132000,1340,66,2000.0,0.19041295,275.1060606060606,0.0025661124,19.957842,0.107058816,0.07688672,98,2.5622492,650,6.190068006515503,0.2,-0.00045430247555486856,0.00017594466,-0.176802744762972,2.596158027648926,1e-05,0.003076171875,-0.0023279190063476562
134000,1361,67,2000.0,0.18562338,277.1940298507463,0.0028251715,19.963463,0.14420855,0.0896179,98,2.7231634,660,6.403704509139061,0.2,-0.0007760445994790643,0.0006833727,-0.14796987019944935,2.028057336807251,1e-05,0.006640625,0.02385246753692627
136000,1382,68,2000.0,0.18652563,279.1617647058824,0.001844868,19.984373,0.13551636,0.07378143,98,2.5422583,670,7.1738399177789685,0.2,-0.000928026637120638,0.0005039441,-0.14497700741048902,2.2413220405578613,1e-05,0.0046875,0.022043943405151367
138000,1403,69,2000.0,0.18422526,280.1014492753623,0.0030756015,19.27387,0.17400707,0.085575074,98,2.4729316,680,6.200938040018082,0.2,-0.000585992143896874,0.00066050625,-0.13832860875409098,1.4657857418060303,1e-05,0.002880859375,0.0430111289024353
140000,1424,70,2000.0,0.18515733,282.0857142857143,0.0037762127,19.40422,0.15944788,0.06700583,98,2.436516,690,6.131676558405161,0.2,-0.0010588297547656112,0.0012018136,-0.14236615933477878,2.436612844467163,1e-05,0.0115234375,-0.024806618690490723
142000,1445,71,2000.0,0.17991385,284.59154929577466,0.0031348593,19.876995,0.110853106,0.059661217,98,2.421313,700,5.500215870141983,0.2,-0.00128132498357445,0.0010330959,-0.1330605093971826,2.1049132347106934,1e-05,0.0125,0.04347163438796997
144000,1465,72,2000.0,0.18906716,285.09722222222223,0.004109371,19.006054,0.10422815,0.06618659,98,2.5706966,710,5.523453310504555,0.2,-0.0005322183889802546,0.00023741944,-0.11526887759100646,2.1926229000091553,1e-05,0.0,0.05625343322753906
146000,1487,73,2000.0,0.17948894,286.36986301369865,0.0014280966,18.801146,0.13949344,0.085673444,98,2.6075695,720,6.360929819196462,0.2,-0.00015761469549033791,0.000101170604,-0.12849227176047862,2.220500946044922,1e-05,0.00087890625,0.03476905822753906
148000,1509,74,2000.0,0.19552101,288.1081081081081,0.0020974027,19.07675,0.12876345,0.08708022,98,2.4442403,730,6.426841968297959,0.2,-0.0005440744891529903,0.0010004023,-0.11410684356233106,4.005730152130127,1e-05,0.00234375,0.054127395153045654
150000,1530,75,2000.0,0.18506433,290.1066666666667,0.0033240758,19.332436,0.14702259,0.067122,98,2.6775208,740,5.83332467675209,0.2,-0.0013692677559447475,0.0007529174,-0.12923672529868782,1.5323728322982788,1e-05,0.014208984375,0.013677716255187988
152000,1551,76,2000.0,0.18847059,291.3421052631579,0.002633531,19.171503,0.14638716,0.06542491,97,2.4776423,750,6.627597909420729,0.2,-0.00037698866071878,0.00030904505,-0.11532707661390304,2.325223207473755,1e-05,0.000341796875,0.06816482543945312
