rollout/ep_len_mean,time/fps,time/iterations,long_std,time/time_elapsed,short_std,return_mean,rollout/ep_rew_mean,short_mean,return_std,time/total_timesteps,long_mean,train/value_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss
2000.0,92,136,0.18532088,2952,0.015682615,1.4156256,-5.52,0.017757349,1.3583179,272000,0.0035704633,1.4462448421865701,0.2,0.016162109375,0.0011441407,0.34747907519340515,-0.003415078707621433,0.15841513872146606,1350,1e-05,-0.2082859454676509
2000.0,92,137,0.17724435,2973,0.00892804,1.0181361,-4.6,0.010161636,1.1641145,274000,0.0012465586,1.5521184457466006,0.2,0.010205078125,0.0011037722,0.77696692943573,-0.0019469220016617328,0.15515881776809692,1360,1e-05,-0.19499133159406484
2000.0,92,138,0.18899465,2994,0.013609555,1.3949149,-5.0,0.014166316,1.4154016,276000,0.0037899306,1.0662668984383346,0.2,0.01328125,0.0017291058,0.5780642628669739,-0.002386489427590277,0.19718331098556519,1370,1e-05,-0.17248656968586146
2000.0,92,139,0.18771735,3015,0.013663761,0.89271605,-4.16,0.014026492,1.1612434,278000,0.0024282034,1.5125970223918557,0.2,0.019287109375,0.0016897792,0.7689973711967468,-0.0014965310518164187,0.21666687726974487,1380,1e-05,-0.157897435920313
2000.0,92,140,0.18424465,3036,0.010185196,0.45213634,-5.18,0.010850961,0.8928633,280000,0.0022340622,0.6592356543987989,0.2,0.008447265625,0.0008739803,0.5221714377403259,-0.001708645446342416,0.48333704471588135,1390,1e-05,-0.12517270133830607
2000.0,92,141,0.18234663,3057,0.023472296,0.963787,-4.18,0.01598505,1.4576097,282000,0.0035651473,0.4878355963155627,0.2,0.017236328125,0.00091270613,0.41481533646583557,-0.002084277299582027,0.3734111785888672,1400,1e-05,-0.13650622537825258
2000.0,92,142,0.18752594,3079,0.010993817,1.2373468,-2.8,0.010491806,1.4998829,284000,0.006587803,1.2468176865950227,0.2,0.018994140625,0.001508168,0.49863219261169434,-0.0013828006311086937,0.4001721143722534,1410,1e-05,-0.16812820588238536
2000.0,92,143,0.18780942,3100,0.021572959,1.5116059,-0.2,0.016338538,1.4420663,286000,0.0047088936,1.6575797636061906,0.2,0.019287109375,0.0019065836,1.422027349472046,-0.003139228039071895,0.25690358877182007,1420,1e-05,-0.18035303659271448
2000.0,92,144,0.18133904,3121,0.028612824,1.5575744,2.23,0.02160285,1.2183803,288000,0.0027670609,1.6947098441421986,0.2,0.005908203125,0.0012562706,0.6344729661941528,-0.0015830265590921044,0.16676396131515503,1430,1e-05,-0.17550814431160688
2000.0,92,145,0.18108028,3143,0.016594429,1.3608779,2.22,0.015452791,1.3279029,290000,0.003428925,1.061117209494114,0.2,0.02041015625,0.0013342284,0.5783769488334656,-0.0015471192280529066,0.2702614665031433,1440,1e-05,-0.18256299775093793
2000.0,92,146,0.18576078,3164,0.012694116,1.4502901,2.53,0.012526687,1.421914,292000,0.0032155572,1.0903612554073334,0.2,0.012744140625,0.0014704834,0.20205077528953552,-0.0014294452557805926,0.36942601203918457,1450,1e-05,-0.15931926774792374
2000.0,92,147,0.1883513,3185,0.02298397,1.2720934,2.26,0.017132467,1.6609476,294000,0.0017142356,0.8865729657933116,0.2,0.00576171875,0.00046571833,0.5644548535346985,-0.00106223366165068,0.5275402665138245,1460,1e-05,-0.1512746557360515
