time/iterations,long_mean,time/fps,rollout/ep_rew_mean,return_std,long_std,time/time_elapsed,short_std,return_mean,time/total_timesteps,short_mean,rollout/ep_len_mean,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/entropy_loss,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/std
47,0.0006310071,234,1266.8671875,16.135008,0.018765846,410,0.015450182,138.1539,96256,0.030597802,1000.0,1e-05,0.2,0.032275390625,460,0.0050834557,-7.111042106151581,0.27866560220718384,223.01951125860214,127.55994415283203,-0.002939602291735355,1.0033681392669678
48,0.0004780523,234,1272.2729591836735,17.117199,0.016352681,418,0.013825902,138.47,98304,0.035236366,1000.0,1e-05,0.2,0.022705078125,470,0.004298485,-7.111172731220722,0.03619188070297241,240.74984880685807,21.5805721282959,-0.0039051999876392072,1.0032047033309937
49,0.0005679016,234,1278.17,16.016735,0.016281636,427,0.02175067,141.30988,100352,0.04119394,1000.0,1e-05,0.2,0.04873046875,480,0.006079889,-7.110168462991714,0.20588362216949463,229.61633417010307,60.256980895996094,-0.004952884747763164,1.0030382871627808
50,0.00049617793,234,1352.67,16.93293,0.014578714,435,0.015400189,141.46909,102400,0.031396866,1000.0,1e-05,0.2,0.05439453125,490,0.007262357,-7.109796166419983,0.10338693857192993,217.3491620898247,199.3730010986328,-0.005615890827903059,1.00301992893219
51,0.0005672646,235,1399.46,16.611877,0.017382983,444,0.015490608,141.03564,104448,0.03600741,1000.0,1e-05,0.2,0.016552734375,500,0.0043578865,-7.1100548401474954,0.2158610224723816,221.32340168952942,143.2074432373047,-0.0032379972413764334,1.0031546354293823
52,0.0005658304,235,1448.0225,18.595274,0.018349478,452,0.013368459,144.54556,106496,0.0343372,1000.0,1e-05,0.2,0.0451171875,510,0.0054892115,-7.110755679011345,0.08782392740249634,238.10634742975236,148.64645385742188,-0.003443389278254472,1.0032503604888916
53,0.0005316618,235,1464.965,18.11079,0.01654456,461,0.013744582,144.10791,108544,0.0364687,1000.0,1e-05,0.2,0.032958984375,520,0.0045705554,-7.112602077424526,0.26527976989746094,242.8343569278717,101.2181396484375,-0.00369509800511878,1.0039262771606445
54,0.0005348589,235,1470.26,16.951551,0.018025042,470,0.01266202,144.18567,110592,0.034970388,1000.0,1e-05,0.2,0.0220703125,530,0.0051356866,-7.114626252651215,0.2362123727798462,230.16407183408737,120.66043090820312,-0.003911701336619444,1.0040515661239624
55,0.0004960906,235,1474.8175,17.080715,0.021526402,478,0.018744703,147.33356,112640,0.035284046,1000.0,1e-05,0.2,0.004833984375,540,0.0030482463,-7.115507224202156,0.15717750787734985,233.56994301080704,28.38475799560547,-0.0014565168719855137,1.0042880773544312
56,0.00056681654,235,1475.9225,17.62804,0.018674357,487,0.011617192,148.3225,114688,0.03462256,1000.0,1e-05,0.2,0.019580078125,550,0.005025682,-7.116874630749225,0.19454026222229004,229.67565335035323,200.67434692382812,-0.0018204725813120604,1.0045992136001587
57,0.0005483489,235,1478.4625,17.72578,0.017323142,495,0.012033243,146.66891,116736,0.031236032,1000.0,1e-05,0.2,0.0673828125,560,0.007865647,-7.117580099403858,0.1288834810256958,251.84162216186525,44.1700439453125,-0.006874201152822934,1.0046027898788452
58,0.0005098327,235,1497.9125,17.950268,0.015866246,504,0.016179847,148.02187,118784,0.036976315,1000.0,1e-05,0.2,0.026708984375,570,0.0044636438,-7.117531931400299,0.23916095495224,235.62396245002748,230.2854461669922,-0.0028439102025004104,1.0045870542526245
59,0.0005012607,235,1502.2825,17.822792,0.016610114,513,0.019021165,144.54869,120832,0.031185228,1000.0,1e-05,0.2,0.068603515625,580,0.0077736448,-7.118412062525749,0.24344706535339355,239.33806171417237,223.77630615234375,-0.007170200257678516,1.0049209594726562
60,0.0005061804,235,1502.685,17.330757,0.018187866,521,0.011545581,149.12375,122880,0.034344904,1000.0,1e-05,0.2,0.035986328125,590,0.006174008,-7.120193308591842,0.24184077978134155,238.1010170519352,112.39732360839844,-0.004374754072341602,1.0052947998046875
61,0.00055302033,235,1506.5675,16.917194,0.016554216,530,0.014687041,146.5299,124928,0.037498683,1000.0,1e-05,0.2,0.063818359375,600,0.0072351997,-7.121894517540932,0.12355649471282959,251.58965578079224,95.56739807128906,-0.005167010867444333,1.0055958032608032
62,0.0005410019,235,1513.575,17.190662,0.016972454,538,0.0169416,146.50027,126976,0.03464143,1000.0,1e-05,0.2,0.04326171875,610,0.0060838573,-7.123200857639313,0.15777993202209473,237.88531523942947,76.85137939453125,-0.004664606603910215,1.0058478116989136
63,0.0006985988,235,1522.375,20.083849,0.023831442,547,0.018339125,144.8276,129024,0.037103735,1000.0,1e-05,0.2,0.0568359375,620,0.006233679,-7.124257588386536,0.2058110237121582,229.29075808525084,193.0893096923828,-0.005707505134341773,1.0060242414474487
64,0.0004969475,235,1528.4625,18.519077,0.016590104,555,0.015358056,145.36125,131072,0.033591196,1000.0,1e-05,0.2,0.040625,630,0.006249075,-7.12504795640707,0.09622681140899658,355.6204990029335,133.5587921142578,-0.005441695248009637,1.0061203241348267
65,0.00045759327,235,1535.67,18.814228,0.01558197,564,0.015214265,147.49759,133120,0.037406333,1000.0,1e-05,0.2,0.042236328125,640,0.006487241,-7.1260332152247425,0.27034372091293335,237.1719911336899,53.782875061035156,-0.004111769636801909,1.006430983543396
66,0.00045632088,235,1541.5725,19.23721,0.015608066,573,0.018395837,145.6221,135168,0.038733777,1000.0,1e-05,0.2,0.010986328125,650,0.0040569417,-7.127684323489666,0.37011367082595825,217.38582081198692,89.12999725341797,-0.0018284844001755119,1.0068074464797974
67,0.00053105375,235,1546.28,18.851109,0.017601354,581,0.014504743,147.09435,137216,0.03677622,1000.0,1e-05,0.2,0.03212890625,660,0.0053237104,-7.129057560861111,0.3932371139526367,220.1489096224308,17.867517471313477,-0.0033866405196022243,1.0069706439971924
68,0.00044666883,235,1549.6275,17.89289,0.01573339,590,0.0117749255,150.52577,139264,0.038099416,1000.0,1e-05,0.2,0.022802734375,670,0.004019782,-7.129884816706181,0.3430706262588501,231.37863569259645,161.19847106933594,-0.003194959783286322,1.0071104764938354
69,0.0005366722,235,1553.2,18.443336,0.0123226475,598,0.020277834,150.09839,141312,0.035678945,1000.0,1e-05,0.2,0.03935546875,680,0.0046712547,-7.1303825080394745,0.2189130187034607,245.31998053789138,181.59817504882812,-0.003412839422526304,1.007211685180664
70,0.0005948285,235,1557.44,18.516918,0.016529236,607,0.0214244,151.48692,143360,0.03911414,1000.0,1e-05,0.2,0.03115234375,690,0.0060576,-7.130685138702392,0.316597044467926,226.83782730102538,44.72480392456055,-0.004282494183280505,1.007261037826538
71,0.00048193787,236,1557.7575,17.677122,0.014154961,616,0.019312004,150.7621,145408,0.03524272,1000.0,1e-05,0.2,0.014208984375,700,0.0038431599,-7.13061211258173,0.16608601808547974,277.92130587100985,119.46507263183594,-0.0030382162527530453,1.007165789604187
72,0.00059489603,236,1559.5475,17.900541,0.01768923,624,0.014965923,145.29474,147456,0.02923344,1000.0,1e-05,0.2,0.0310546875,710,0.005382883,-7.130780483782291,0.2539079189300537,227.28316893577576,125.27946472167969,-0.004341717503848486,1.0073342323303223
73,0.0005409288,236,1560.61,17.73483,0.017518686,633,0.015717315,148.3308,149504,0.035555422,1000.0,1e-05,0.2,0.054931640625,720,0.0056129564,-7.131698790192604,0.3033573031425476,218.81228749752046,232.0160675048828,-0.006078716428601183,1.0075851678848267
74,0.00048566182,236,1563.73,18.479212,0.014953935,641,0.01762957,147.94528,151552,0.038749374,1000.0,1e-05,0.2,0.0693359375,730,0.00699934,-7.132395085692406,0.25770795345306396,226.04293434023856,143.80294799804688,-0.0068219034175854175,1.0075901746749878
75,0.00059169636,236,1568.6525,17.671646,0.01574735,650,0.016925268,148.46616,153600,0.03722498,1000.0,1e-05,0.2,0.019580078125,740,0.0046038134,-7.132810665667057,0.28482770919799805,233.12233263254166,39.171913146972656,-0.002745303044503089,1.0077975988388062
76,0.00056841795,236,1569.4075,17.950554,0.016480543,659,0.020902693,146.06812,155648,0.02968088,1000.0,1e-05,0.2,0.0603515625,750,0.006451496,-7.133646179735661,0.272363543510437,221.0043281018734,81.80160522460938,-0.006369156549044419,1.007900595664978
77,0.0005088558,236,1572.445,17.389315,0.02193173,667,0.013694582,145.53275,157696,0.031607553,1000.0,1e-05,0.2,0.007470703125,760,0.0030822146,-7.132915078103542,0.31904280185699463,212.14255677461625,207.9849853515625,-0.0025617039354983717,1.0074180364608765
78,0.00049767434,236,1575.105,17.993261,0.015238135,676,0.011940225,148.76945,159744,0.033715576,1000.0,1e-05,0.2,0.074267578125,770,0.009528469,-7.132680137455464,0.25122010707855225,223.8988694727421,44.241397857666016,-0.006413768228958361,1.0078710317611694
